Key,Id,English(en),French(fr),German(de),Italian(it),Polish(pl),Portuguese (Brazil)(pt-BR),Spanish(es)
"Pause",1288034254331904,"Pause","Pause","Pause","Pausa","Pauza","Pausa","Pausa"
"Resume",1288034308857856,"Continue","Continuer","Fortfahren","Continuare","Kontynuować","Continuar","Continuar"
"Single.LobbyMenu.MainMenu",62150139904,"Singleplayer","mode solo","Einzelspieler","Giocatore singolo","Tryb dla jednego gracza","Um jogador","Un jugador"
"Multiple.LobbyMenu.MainMenu",311542483984384,"Multiplayer","Multijoueur","Mehrspieler","Multigiocatore","Tryb wieloosobowy","Multijogador","Multijugador"
"ToBoldly.LobbyMenu.MainMenu",72856576000,"To boldly go where no one has gone before.","Oser aller là où personne n'est jamais allé.","Hin zu gehen, wo noch nie ein Mensch zuvor gewesen ist.","Andare coraggiosamente dove nessuno è mai andato prima.","Śmiało podążać tam, gdzie nikt jeszcze nie dotarł.","Ir audaciosamente aonde ninguém jamais foi.","Ir audazmente donde nadie ha ido antes."
"LoadGame.LobbyMenu.MainMenu",72936267776,"Load","Charger","Laden","Carico","Obciążenie","Carregar","Carga"
"StartSetup.LocalPlayer.MainMenu",72936267777,"Save Settings","Enregistrer les paramètres","Einstellungen speichern","Salva impostazioni","Zapisz ustawienia","Salvar configurações","Guardar configuración"
"Previous.LocalPlayer.MainMenu",72936267778,"Previous","Précédent","Zurück","Precedente","Poprzedni","Anterior","Anterior"
"InGame.LocalPlayer.MainMenu",904229349761024,"In Game","Dans le jeu","Im Spiel","Nel gioco","W grze","No jogo","En el juego"
"GalaxyMap.GameParam.MainMenu",873292020850688,"Create Map","Créer une carte","Karte erstellen","Crea mappa","Utwórz mapę","Criar mapa","Crear mapa"
"CivHeader.GameParam.MainMenu",884664951644160,"Civilization","Civilisation","Zivilisation","Civiltà","Cywilizacja","Civilização","Civilización"
"PlayerHeader.GameParam.MainMenu",891215858900992,"Players","Joueurs","Spieler","Giocatori","Gracze","Jogadores","Jugadores"
"Settings.GameParam.MainMenu",891215905038336,"Settings","Paramètres","Einstellungen","Impostazioni","Ustawienia","Configurações","Ajustes"
"Chose A Civilzation",3444178414477312,"Chose A Civilization","Choisissez une civilisation","Wähle eine Zivilisation","Scegli una civiltà","Wybierz cywilizację","Escolha uma civilização","Elegimos una civilización"
"Computer",1661048295202816,"Computer","Ordinateur","Computer","Computer","Komputer","Computador","Computadora"
"Absent",1661048295202817,"Absent","Absent","Abwesend","Assente","Nieobecny","Ausente","Ausente"
"You",3466425711730688,"You","Toi","Du","Voi","Ty","Você","Tú"
"TechLevel.GameParam.MainMenu",2038611676962816,"Tech Level","Niveau technique","Entwicklungsstufe","Livello tecnico","Poziom techniczny","Nível técnico","Nivel técnico"
"Early",2041072923910144,"Early","Tôt","Früh","Presto","Wczesny","Cedo","Temprano"
"Developed",2041072932298752,"Developed","Développé","Entwickelt","Sviluppato","Rozwinięty","Desenvolvido","Desarrollado"
