New_X,New_Y,New_Z,Original_X,Original_Y,Original_Z
2759.800,0.000,-1980.000,2850,0,-1800
1066.700,-250.000,-7337.000,1400,-250,-6670
-4475.200,150.000,-3850.000,-4300,150,-3500
-5382.500,300.000,6430.600,-5675,300,5846
5899.800,100.000,8800.000,5500,100,8000
-4899.800,80.000,-7700.000,-4550,80,-7000
-856.700,0.000,-7843.000,-500,0,-7130
-1969.800,-100.000,-3740.000,-1800,-100,-3400
1660.300,-210.000,3971.000,1480,-210,3610
-504.800,237.000,-4510.000,-300,237,-4100
-4845.200,0.000,-5390.000,-4600,0,-4900
3890.200,-57.000,6380.000,3600,-57,5800
-1150.500,115.000,-5506.600,-900,115,-5006
-144.800,-216.000,-5390.000,100,-216,-4900
4649.800,237.000,3300.000,4500,237,3000
-2094.800,-7.000,-8690.000,-1700,-7,-7900
-1030.200,-57.000,-7480.000,-690,-57,-6800
-1599.800,115.000,-2200.000,-1500,115,-2000
-10.200,-216.000,-6820.000,300,-216,-6200
-2674.800,237.000,7150.000,-3000,237,6500
864.800,-7.000,-9570.000,1300,-7,-8700
-1299.800,-57.000,-8800.000,-900,-57,-8000
229.800,115.000,-5940.000,500,115,-5400
-4464.800,-211.000,-3630.000,-4300,-211,-3300
69.800,-200.000,-9460.000,500,-200,-8600
-114.800,-216.000,-9130.000,300,-216,-8300
3259.800,237.000,7920.000,2900,237,7200
480.200,-7.000,-9240.000,900,-7,-8400
1789.800,-50.000,-9020.000,2200,-50,-8200
-3254.800,115.000,-7810.000,-2900,115,-7100
-2830.200,173.000,-9460.000,-2400,173,-8600
-2224.300,210.000,-7359.000,-1890,210,-6690
4881.800,-160.000,4884.000,4660,-160,4440
-1849.800,49.000,-3300.000,-1700,49,-3000
4426.300,-270.000,583.000,4400,-270,530
-2849.800,-245.000,-5500.000,-2600,-245,-5000
-3725.200,-195.000,-2750.000,-3600,-195,-2500
554.200,110.000,-9152.000,970,110,-8320
-6665.200,0.000,-8030.000,-6300,0,-7300
-209.800,53.000,-2420.000,-100,53,-2200
994.800,-123.000,-8910.000,1400,-123,-8100
-1214.800,-124.000,-6930.000,-900,-124,-6300
-210.200,-216.000,-9020.000,200,-216,-8200
-559.800,237.000,-5720.000,-300,237,-5200
-350.200,0.000,-9020.000,60,0,-8200
-949.800,-57.000,1100.000,-1000,-57,1000
-4887.700,110.000,-8525.000,-4500,110,-7750
-464.800,91.000,-3630.000,-300,91,-3300
3379.800,-76.000,3960.000,3200,-76,3600
-1502.300,264.000,-55.000,-1500,264,-50
-4150.200,-270.000,5500.000,-4400,-270,5000
-1784.800,-230.000,8030.000,-2150,-230,7300
-2717.700,-110.000,-9185.000,-2300,-110,-8350
-4424.800,283.000,-9350.000,-4000,283,-8500
3974.800,-274.000,-550.000,4000,-274,-500
-5824.300,-10.000,-4279.000,-5630,-10,-3890
3079.800,-290.000,5280.000,2840,-290,4800
2275.200,185.000,-9350.000,2700,185,-8500
4914.800,-75.000,-4070.000,5100,-75,-3700
-3489.800,260.000,-4180.000,-3300,260,-3800
3819.800,-125.000,-3960.000,4000,-125,-3600
3150.200,180.000,-3300.000,3300,180,-3000
-3505.200,-38.000,-8910.000,-3100,-38,-8100
1960.200,-86.000,7920.000,1600,-86,7200
-4575.200,-174.000,-1650.000,-4500,-174,-1500
5175.200,120.000,3850.000,5000,120,3500
-4630.200,-238.000,-9460.000,-4200,-238,-8600
1630.200,-110.000,5060.000,1400,-110,4600
-1095.200,30.000,-6490.000,-800,30,-5900
975.200,-250.000,-9350.000,1400,-250,-8500
-3230.200,232.000,-9460.000,-2800,232,-8600
-1309.800,89.000,-9020.000,-900,89,-8200
-3415.200,-200.000,6270.000,-3700,-200,5700
4741.450,20.000,5747.500,4480,20,5225
-5690.200,-161.000,-8580.000,-5300,-161,-7800
1405.200,49.000,-8690.000,1800,49,-7900
-4430.200,300.000,-7260.000,-4100,300,-6600
2080.200,-270.000,6160.000,1800,-270,5600
-1050.200,-1.000,-1100.000,-1000,-1,-1000
1200.200,123.000,-6600.000,1500,123,-6000
-5680.200,279.000,-8360.000,-5300,279,-7600
1730.200,293.000,660.000,1700,293,600
-3155.200,298.000,-1210.000,-3100,298,-1100
1890.200,-227.000,1980.000,1800,-227,1800
-3155.200,-225.000,-3410.000,-3000,-225,-3100
-689.800,-120.000,-6380.000,-400,-120,-5800
4609.800,67.000,4620.000,4400,67,4200
-3624.800,38.000,-4950.000,-3400,38,-4500
-1381.700,-20.000,-8393.000,-1000,-20,-7630
-5624.800,-222.000,8250.000,-6000,-222,7500
